ticket_id,ticket_type,content,path,status,created_at,updated_at
20260406-RT-247-MESH_STABLE,LEGACY_RTDB, | ,parent:20260406-RT-246_20260406-RT-247-MESH_STABLE,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-460-RECONCILE,LEGACY_RTDB, | ,parent:STICKY-MASTER-HEAD-5c783fa7_20260406-RT-460-RECONCILE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-464-VAULT-GENESIS,LEGACY_RTDB, | ,parent:20260406-RT-463-SOT-DEPLOY_20260406-RT-464-VAULT-GENESIS,STICKY,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-467-VAULT-PENETRATION,LEGACY_RTDB, | ,parent:20260406-RT-466-SHARD-RECON_20260406-RT-467-VAULT-PENETRATION,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-468-201-RECON,LEGACY_RTDB, | ,parent:20260406-RT-467-VAULT-PENETRATION_20260406-RT-468-201-RECON,STALL,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-469-VAULT-UNLOCK,LEGACY_RTDB, | ,parent:20260406-RT-468-201-RECON_20260406-RT-469-VAULT-UNLOCK,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-476-DUAL-PIVOT,LEGACY_RTDB, | ,parent:20260406-RT-475-SUB-PROBE_20260406-RT-476-DUAL-PIVOT,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-489-ROLL-CALL,LEGACY_RTDB, | ,parent:20260406-RT-488-GMODEM-SCAN_20260406-RT-489-ROLL-CALL,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-496-MESH-RES,LEGACY_RTDB, | ,parent:20260406-RT-495-BACKPLANE-HEAL_20260406-RT-496-MESH-RES,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-497-HARDWARE-SYNC,LEGACY_RTDB, | ,parent:20260406-RT-496-MESH-RES_20260406-RT-497-HARDWARE-SYNC,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-498-MODEM-RECLAIM,LEGACY_RTDB, | ,parent:20260406-RT-497-HARDWARE-SYNC_20260406-RT-498-MODEM-RECLAIM,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-516-CRASH-RECLAMATION,LEGACY_RTDB, | ,parent:20260406-RT-515-ENDPOINT-CHAT_20260406-RT-516-CRASH-RECLAMATION,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-517-SCHEMA-FIX,LEGACY_RTDB, | ,parent:20260406-RT-516-CRASH-RECLAMATION_20260406-RT-517-SCHEMA-FIX,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-518-GATEWAY-READY,LEGACY_RTDB, | ,parent:20260406-RT-517-SCHEMA-FIX_20260406-RT-518-GATEWAY-READY,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-519-VOLLEY-01-RESOLVE,LEGACY_RTDB, | ,parent:20260406-RT-518-GATEWAY-READY_20260406-RT-519-VOLLEY-01-RESOLVE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-524-HUMAN-IGNITE,LEGACY_RTDB, | ,parent:20260406-RT-523-INGRESS-POLL_20260406-RT-524-HUMAN-IGNITE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-532-CMS-SYNC,LEGACY_RTDB, | ,parent:20260406-RT-531-ARCHITECT-STUB_20260406-RT-532-CMS-SYNC,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-533-STATUS-SCHEMA-FIX,LEGACY_RTDB, | ,parent:20260406-RT-532-CMS-SYNC_20260406-RT-533-STATUS-SCHEMA-FIX,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-537-S25-RECLAIM,LEGACY_RTDB, | ,parent:20260406-RT-536-CORE-FIX_20260406-RT-537-S25-RECLAIM,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-361-SYNC-DIAGNOSE,LEGACY_RTDB, | ,parent:20260406-RT-360-VIBE-DEPLOY_20260406-RT-361-SYNC-DIAGNOSE,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-362-HYPERLOOP-RESTORE,LEGACY_RTDB, | ,parent:20260406-RT-361-SYNC-DIAGNOSE_20260406-RT-362-HYPERLOOP-RESTORE,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-364-BRIDGE-FIX,LEGACY_RTDB, | ,parent:20260406-RT-363-HYPERLOOP-AUDIT_20260406-RT-364-BRIDGE-FIX,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-370-VIBE-FLOW,LEGACY_RTDB, | ,parent:20260406-RT-369-VERIFY-REBUILD_20260406-RT-370-VIBE-FLOW,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-401-PORTAL,LEGACY_RTDB, | ,parent:20260406-RT-400-SECURE_20260406-RT-401-PORTAL,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-403-PARITY,LEGACY_RTDB, | ,parent:20260406-RT-402-IGNITION_20260406-RT-403-PARITY,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-407-LOCATE,LEGACY_RTDB, | ,parent:20260406-RT-406-AUDIT_20260406-RT-407-LOCATE,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-408-BREAKOUT,LEGACY_RTDB, | ,parent:20260406-RT-407-LOCATE_20260406-RT-408-BREAKOUT,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-409-SCHISM,LEGACY_RTDB, | ,parent:20260406-RT-408-BREAKOUT_20260406-RT-409-SCHISM,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-410-BRIDGE,LEGACY_RTDB, | ,parent:20260406-RT-409-SCHISM_20260406-RT-410-BRIDGE,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-411-UNIFY,LEGACY_RTDB, | ,parent:20260406-RT-410-BRIDGE_20260406-RT-411-UNIFY,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-415-RECOVERY,LEGACY_RTDB, | ,parent:20260406-RT-413-COMPLETE_20260406-RT-415-RECOVERY,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-416-SYNC,LEGACY_RTDB, | ,parent:20260406-RT-415-RECOVERY_20260406-RT-416-SYNC,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-456-PARAMETER-SYNC,LEGACY_RTDB, | ,parent:20260406-RT-455-PATH-RECON_20260406-RT-456-PARAMETER-SYNC,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-461-ROOT-AUDIT,LEGACY_RTDB, | ,parent:20260406-RT-460-RECONCILE_20260406-RT-461-ROOT-AUDIT,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-465-VAULT-DEEP-DIVE,LEGACY_RTDB, | ,parent:20260406-RT-464-VAULT-GENESIS_20260406-RT-465-VAULT-DEEP-DIVE,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-466-SHARD-RECON,LEGACY_RTDB, | ,parent:20260406-RT-465-VAULT-DEEP-DIVE_20260406-RT-466-SHARD-RECON,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-470-201-PENETRATION,LEGACY_RTDB, | ,parent:20260406-RT-469-VAULT-UNLOCK_20260406-RT-470-201-PENETRATION,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-472-KEY-ROTATION-S25,LEGACY_RTDB, | ,parent:20260406-RT-471-VAULT-INDEXING_20260406-RT-472-KEY-ROTATION-S25,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-474-CORE-RECOVERY,LEGACY_RTDB, | ,parent:20260406-RT-472-KEY-ROTATION-S25_20260406-RT-474-CORE-RECOVERY,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-477-SA-RECLAMATION,LEGACY_RTDB, | ,parent:20260406-RT-476-DUAL-PIVOT_20260406-RT-477-SA-RECLAMATION,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-478-SHARD-5-RECON,LEGACY_RTDB, | ,parent:20260406-RT-477-SA-RECLAMATION_20260406-RT-478-SHARD-5-RECON,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
